,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Fluminense,Meia,Arias,9.79,0.71,5.9,3.13,3,4,,,,,1.0,2.0,,1.0,,,,,,4.0,,,,,2.0,,99815.0,266,4,0.0
1,Fluminense,Lateral,Alexsander,8.57,0.07,1.9,4.32,4,4,,,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,118774.0,266,2,0.0
2,Fluminense,Atacante,Cano,16.0,0.29,8.1,5.12,4,4,,,,2.0,3.0,,,,,,,,,1.0,,,,,2.0,,79631.0,266,5,8.1
3,Cruzeiro,Atacante,Bruno Rodrigues,12.09,-1.05,3.2,8.47,4,4,,,,,1.0,3.0,,,,,,,,1.0,,,,,1.0,,92811.0,283,5,0.0
4,Cruzeiro,Lateral,William,9.2,-0.18,4.9,6.7,4,4,,,,,,1.0,,,,,,,,5.0,,,1.0,,2.0,,89275.0,283,2,0.0
5,Cruzeiro,Meia,Mateus Vital,6.62,-0.85,1.0,4.38,4,4,,,,,,2.0,,,,,,,,,,,,,,,93108.0,283,4,0.0
6,Palmeiras,Zagueiro,Gustavo Gmez,9.17,0.52,4.8,2.5,4,4,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,3.0,,71684.0,275,3,0.0
7,Grmio,Goleiro,Gabriel Grando,4.81,0.46,3.5,3.33,3,4,,,,,,1.0,,,,,,,6.0,,,,,3.0,,,112616.0,284,1,0.0
8,Grmio,Atacante,Luis Surez,14.18,2.32,13.3,5.63,4,4,1.0,,,,1.0,2.0,,1.0,,,,,,3.0,,,,,,,69318.0,284,5,0.0
9,Bahia,Tcnico,Renato Paiva,8.51,0.68,6.44,5.4,4,4,,,,,,,,,,,,,,,,,,,,,110818.0,265,6,0.0
10,Bahia,Meia,Cauly,7.74,2.58,11.8,5.05,4,4,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,123360.0,265,4,0.0
11,Fluminense,Zagueiro,Nino,13.51,0.69,5.3,6.65,4,4,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,91708.0,266,3,0.0
12,Flamengo,Atacante,Pedro,14.33,-0.66,5.4,5.0,3,3,,,,2.0,,,,,,,,,,1.0,,,,,,,94583.0,262,5,5.4
13,Palmeiras,Zagueiro,Murilo,11.05,2.32,10.6,3.77,3,3,1.0,,,,,1.0,,,,,,,,2.0,,,,,1.0,,97653.0,275,3,0.0
14,Vasco,Meia,Alex Teixeira,6.19,-0.24,2.5,3.27,3,3,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,2.0,,60793.0,267,4,0.0
15,Vasco,Atacante,Pedro Raul,5.79,-0.64,1.3,3.77,3,3,,,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,98225.0,267,5,0.0
16,Bragantino,Meia,Bruninho,11.08,-1.11,1.2,7.05,2,3,,,,1.0,,,,,,,,,,,,,,,,,113558.0,280,4,0.0
