,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Palmeiras,Zagueiro,Gustavo Gmez,9.17,0.52,4.8,2.5,4.0,4.0,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,3.0,,71684.0,275,3,0.0
1,Fluminense,Tcnico,Fernando Diniz,14.36,-0.2,4.09,6.66,4.0,4.0,,,,,,,,,,,,,,,,,,,,,72391.0,266,6,0.0
2,Fluminense,Atacante,Cano,16.0,0.29,8.1,5.12,4.0,4.0,,,,2.0,3.0,,,,,,,,,1.0,,,,,2.0,,79631.0,266,5,8.1
3,Amrica-MG,Goleiro,Matheus Cavichioli,7.38,-0.68,-0.3,1.93,4.0,4.0,,,,,,,,,,,,,4.0,,,1.0,,1.0,1.0,,72580.0,327,1,0.0
4,Cruzeiro,Zagueiro,Oliveira,7.94,-1.54,-0.8,3.27,3.0,4.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,94514.0,283,3,0.0
5,Amrica-MG,Meia,Juninho,5.89,0.78,4.1,2.05,4.0,4.0,,,,,,4.0,,,,,,,,2.0,,,,,1.0,,82381.0,327,4,0.0
6,Amrica-MG,Atacante,Alosio,8.54,3.08,14.3,7.5,3.0,4.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,73850.0,327,5,0.0
7,Fluminense,Meia,Arias,9.79,0.71,5.9,3.13,3.0,4.0,,,,,1.0,2.0,,1.0,,,,,,4.0,,,,,2.0,,99815.0,266,4,0.0
8,Palmeiras,Lateral,Piquerez,11.5,3.72,15.1,6.63,3.0,4.0,,2.0,,,,1.0,,,,,1.0,,,1.0,,,1.0,,2.0,,102130.0,275,2,0.0
9,Fluminense,Lateral,Alexsander,8.57,0.07,1.9,4.32,4.0,4.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,118774.0,266,2,0.0
10,Bahia,Meia,Cauly,7.74,2.58,11.8,5.05,4.0,4.0,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,123360.0,265,4,0.0
